Argyll and Bute - Winner	back	Liberal Democrat	1.16	20	06/01/2015 17:15:42
Argyll and Bute - Winner	back	Liberal Democrat	3.5	15	06/01/2015 17:15:42
Argyll and Bute - Winner	back	Conservative	3.5	15	06/01/2015 17:15:42
Argyll and Bute - Winner	back	Labour	1.56	10	06/01/2015 17:15:42
Argyll and Bute - Winner	back	Labour	2.76	45	06/01/2015 17:15:42
Argyll and Bute - Winner	back	SNP	1.1	50	06/01/2015 17:15:42
Argyll and Bute - Winner	lay	SNP	1.69	45	06/01/2015 17:15:42
Argyll and Bute - Winner	lay	SNP	1.7	100	06/01/2015 17:15:42
Aylesbury - Winner	lay	Conservative	2.26	25	06/01/2015 17:15:43
Aylesbury - Winner	back	UKIP	3.5	16	06/01/2015 17:15:43
Aylesbury - Winner	back	Labour	3.75	10	06/01/2015 17:15:43
Aylesbury - Winner	back	Liberal Democrat	3.65	13	06/01/2015 17:15:43
Berwick Upon Tweed - Winner	back	Liberal Democrat	1.3	98	06/01/2015 17:15:43
Berwick Upon Tweed - Winner	back	Liberal Democrat	2.02	45	06/01/2015 17:15:43
Berwick Upon Tweed - Winner	lay	Liberal Democrat	4.9	15	06/01/2015 17:15:43
Berwick Upon Tweed - Winner	back	Conservative	1.1	232	06/01/2015 17:15:43
Berwick Upon Tweed - Winner	back	Conservative	1.11	95	06/01/2015 17:15:43
Berwick Upon Tweed - Winner	lay	Conservative	3.15	25	06/01/2015 17:15:43
Berwick Upon Tweed - Winner	back	Labour	3.65	15	06/01/2015 17:15:43
Berwick Upon Tweed - Winner	back	UKIP	3.65	15	06/01/2015 17:15:43
Bolton West - Winner	back	Labour	1.01	195	06/01/2015 17:15:44
Bolton West - Winner	lay	Labour	2.72	15	06/01/2015 17:15:44
Bolton West - Winner	back	Conservative	1.22	434	06/01/2015 17:15:44
Bolton West - Winner	back	Conservative	1.24	12	06/01/2015 17:15:44
Bolton West - Winner	back	Conservative	2.5	25	06/01/2015 17:15:44
Bolton West - Winner	back	Liberal Democrat	3.65	15	06/01/2015 17:15:44
Bolton West - Winner	back	UKIP	3.65	15	06/01/2015 17:15:44
Bolton West - Winner	back	Green	3.65	15	06/01/2015 17:15:44
Bradford East - Winner	back	Liberal Democrat	3.75	24	06/01/2015 17:15:44
Bradford East - Winner	back	Liberal Democrat	3.85	25	06/01/2015 17:15:44
Bradford East - Winner	lay	Liberal Democrat	13.5	10	06/01/2015 17:15:44
Bradford East - Winner	back	Labour	1.02	495	06/01/2015 17:15:44
Bradford East - Winner	back	Labour	1.05	25	06/01/2015 17:15:44
Bradford East - Winner	lay	Labour	1.86	25	06/01/2015 17:15:44
Bradford East - Winner	back	Conservative	8	5	06/01/2015 17:15:44
Bradford East - Winner	back	UKIP	12	4	06/01/2015 17:15:44
Brent Central - Winner	back	Labour	1.01	300	06/01/2015 17:15:45
Brent Central - Winner	lay	Labour	1.68	45	06/01/2015 17:15:45
Brent Central - Winner	lay	Labour	2.06	18	06/01/2015 17:15:45
Brent Central - Winner	lay	Labour	2.2	20	06/01/2015 17:15:45
Brent Central - Winner	back	Liberal Democrat	1.25	343	06/01/2015 17:15:45
Brent Central - Winner	back	Liberal Democrat	3.65	17	06/01/2015 17:15:45
Brent Central - Winner	back	Conservative	3.65	16	06/01/2015 17:15:45
Brent Central - Winner	back	UKIP	3.65	16	06/01/2015 17:15:45
Brighton Pavilion - Winner	back	Green	1.11	97	06/01/2015 17:15:45
Brighton Pavilion - Winner	back	Green	1.53	12	06/01/2015 17:15:45
